wilaya_id,wilaya,pop_0_4_ans,pop_5_9_ans,pop_10_14_ans,pop_15_19_ans,pop_20_24_ans,pop_25_29_ans,pop_30_34_ans,pop_35_39_ans,pop_40_44_ans,pop_45_49_ans,pop_50_54_ans,pop_55_59_ans,pop_60_64_ans,pop_65_69_ans,pop_70_74_ans,pop_75_79_ans,pop_80_84_ans,pop_sup_84_ans,pop_nd,masculin,feminin,rural_2008,urbain_2008,acl,as,epars,habitant_par_km2_1998,pop_total,taux_accroissement_urbain,taux_accroissement_rural,taux_accroissement_total,retraite,pensionne,specialite_homme,specialite_femme,generaliste_homme,generaliste_femme,chir_dentiste_homme,chir_dentiste_femme,pharmacien_homme,pharmacien_femme,structure_hospitalisation,salle_consultation_et_soins,centre_sante,polyclinique,lits_techniques_2006,lits_organises_2006,tracho_me,kyste_hydatique,geole_rou_geole,lose_brucel_lose,hepatite_virale_a,hepatite_virale_b,hepatite_virale_c,coque_luche,dysen_terie,typh-oide,leishmaniose_cutanee,menin_gite
35,BOUMERDES,79729.09947,60783.38751,68098.55065,81359.42432,89815.91004,85450.00367,68996.13696,59652.24099,48497.81233,37584.58993,32755.7585,26086.54188,18733.30535,15467.71371,11351.68772,8174.300715,4396.549872,3017.141539,1113.145483,411138.3464,389924.9542,336594,465489,459250,241590,101243,477.4,801063.3006,4.4,-0.19,2.194920195,33083.86586,5750.886751,56,69,121,184,17,86,0,4,3,79,31,9,571,521,0,1,72,1,4,16,6,3,1,8,12,65
36,EL TARF,35844.33178,30817.09717,35804.24568,40043.82321,42598.09065,43674.15545,36598.47896,30666.38312,26853.38611,21875.45165,17875.4864,13435.27395,9810.637477,7711.900487,6334.58356,4441.173109,2492.50869,1486.872907,92.78381809,203948.4148,204508.2493,167717,240697,230157,122434,55822,105.6,408456.6642,2.87,-0.17,1.510639934,19837.97484,4845.011697,19,23,76,89,26,68,1,0,3,80,13,7,489,469,0,5,31,1,14,12,4,0,113,4,3,52
37,TINDOUF,6165.500455,5094.317474,5085.549046,5107.577566,5060.770972,4960.220263,3923.481825,3312.366872,2905.18123,2218.870372,1532.670958,1310.487287,806.8240087,668.1793295,377.4182382,295.4922733,158.6953382,123.8495669,41.68520801,24996.18579,24152.95249,3539,45610,48129,665,356,0.2,49149.13828,6.3,5.48,6.272477895,955.7290837,300.168675,9,8,10,9,1,3,0,0,2,8,2,1,91,94,0,0,0,0,0,25,1,0,0,0,1,9
38,TISSEMSILT,27889.45509,25149.84239,30115.31747,35940.08856,35695.31387,30364.3652,22872.35258,19121.54438,16297.7051,11471.23488,10398.3864,8258.861584,5502.283865,5201.650206,4290.540018,3203.380669,1570.683069,1059.539994,73.54423428,149434.3978,145041.6918,127149,167327,193011,22588,78877,83.8,294476.0896,3.38,-1.26,1.110504403,8698.551063,4055.769446,28,23,60,40,7,19,0,2,3,103,9,5,548,564,0,19,13,17,0,6,11,0,4,5,9,15
39,EL OUED,85874.27674,72973.02985,77227.39253,80523.35589,73102.47032,59701.73212,40787.71176,35073.1636,28921.43371,24286.54042,18460.15454,12893.81579,9834.158731,9041.242194,6918.024355,5643.724847,2713.436245,2329.911316,1241.2903,329603.0813,317943.784,202290,445258,495573,124889,27086,9.2,647546.8653,3.55,0.69,2.579283245,11554.85825,3988.583341,21,11,107,40,16,27,0,0,4,106,18,7,397,536,185,0,3,20,3,124,9,2,62,22,339,16
40,KHENCHELA,38900.1275,35611.66018,40331.8523,43430.48897,43819.77942,38483.28146,29346.0535,24073.28876,22164.09027,17522.95385,14952.44886,12066.2077,6764.344099,6565.023659,5107.519564,4029.663756,1964.118631,1405.777441,144.7653026,195501.5198,191181.9254,123439,263244,288849,16503,81332,33.4,386683.4452,3.45,-1.24,1.694583829,10116.36975,5576.7119,36,25,53,76,8,29,0,3,5,87,12,6,707,621,0,10,2,187,4,16,23,0,0,4,92,86
41,SOUK AHRAS,40754.57144,35280.11872,40533.34746,44293.60376,48640.65447,46118.0894,35085.90435,30365.49371,26353.77828,22886.75062,18075.29884,14761.2613,9604.050266,8496.791749,6687.219802,5325.191539,2955.79616,1812.387178,96.47319112,218911.0793,219215.703,181164,256963,308319,23082,106726,80.9,438126.7823,3.03,0.28,1.809317738,16133.43704,6072.064406,34,29,54,74,11,35,0,2,3,55,17,7,679,496,0,16,14,21,10,58,157,0,51,0,0,69
42,TIPAZA,58504.15021,47216.65774,52948.97209,60479.93816,62918.44231,58320.00843,49114.36946,44555.27591,39377.44845,28480.70521,24079.92808,18450.46743,13438.47017,11524.02296,9260.798508,6218.1552,3023.055645,2005.047226,1094.468733,298885.4495,292124.9324,249300,341710,343838,114797,132376,315.3,591010.3819,2.35,0.62,1.59455892,24131.66557,6526.531779,68,72,135,183,33,103,1,3,4,85,19,8,927,818,0,12,11,2,3,20,7,0,0,2,7,102
43,MILA,72701.22354,63409.09162,79359.69278,92477.26267,90356.53271,74309.49535,57466.37927,46582.13966,42948.22204,38215.28891,29726.01593,23185.11168,16558.05186,13876.07783,11187.73095,7558.835282,4050.100772,2690.695747,227.9307645,386590.8187,380295.0606,319947,446939,440735,163604,162547,71.9,766885.8794,4.52,-2.04,1.317430144,24493.63852,7174.455738,10,33,93,111,15,78,2,3,5,130,24,8,701,711,0,8,2,34,24,32,18,8,22,55,57,97
44,AIN DEFLA,77619.82625,65747.69823,76064.70957,89753.68505,91019.65404,77863.86322,59698.17435,50063.81658,42499.66779,31914.13409,28220.23351,21925.19059,15104.2082,13456.02274,10793.26553,7346.464451,3755.433167,2412.832059,753.6544556,388776.1478,377236.386,397773,368240,450280,171606,144127,135,766012.5339,2.78,0.48,1.524662645,20528.98975,9267.053967,31,26,112,115,23,51,0,4,4,91,23,12,1.052,945,0,23,0,2,7,1,0,0,0,4,13,22
45,NAAMA,21752.62172,18664.07216,18752.39952,19306.33538,20335.66534,19947.94461,16625.86543,13763.55171,10720.75368,7957.467554,7024.820164,4674.749056,3401.107202,3696.156381,2320.979725,1815.752036,1157.99267,840.3957749,132.3853621,98299.20344,94591.81201,53164,139727,160381,6463,26047,4.3,192891.0155,4.24,4.46,4.32611899,5137.494604,2143.290805,34,13,52,38,11,16,1,0,2,41,7,3,375,367,0,0,1,229,23,6,0,0,0,5,181,6
46,AIN TEMOUCHENT,35177.29648,28810.18166,30968.55652,32302.67369,35035.03326,36565.25567,32767.68372,29031.36309,26069.95563,20361.61887,17305.25228,13795.38741,9649.067364,8269.664572,6693.72773,4221.162846,2304.221703,1575.291525,335.4006732,187603.0499,183635.7448,122516,248722,299341,32868,39030,137.6,371238.7947,1.92,0.12,1.291382595,19392.2671,5868.434626,56,35,117,117,35,53,1,2,3,90,19,8,778,848,5,3,14,15,31,38,15,0,1,13,0,38
47,GHARDAIA,45864.24408,39115.83552,39225.93494,39361.52137,37637.18187,32555.60934,26087.12345,23454.2283,20607.34891,16824.47469,11654.80672,7666.142878,6120.778044,5859.926902,4841.849718,3122.099696,1573.407585,1320.484677,705.2961661,185208.7097,178389.5851,13811,349788,355701,4170,3727,3.5,363598.2949,2.42,-5.48,1.961379381,8387.489509,2093.956346,30,18,91,51,19,21,0,0,5,45,14,5,626,603,33,2,97,50,52,5,1,0,98,2,293,42
48,RELIZANE,70783.78448,60400.03065,70645.05224,81694.10151,88556.45169,76726.84946,58008.88355,45808.51863,40071.54288,34344.53278,27827.21105,21669.16083,12872.9162,12430.94524,11045.62182,7330.431636,3275.647375,2321.213709,367.266472,366300.8704,359879.2918,333195,392985,432386,99914,193881,131.9,726180.1622,2.88,-0.36,1.260586419,21566.24,6881.159332,33,15,103,84,22,40,0,3,3,118,22,11,852,742,0,12,0,1,0,15,9,0,63,11,4,49
213,Algerie,3404431.15,2887933.609,3258326.645,3634693.983,3763006.745,3421913.623,2740600.153,2342387.176,2018028.635,1629169.151,1346516.512,1062383.005,711364.515,631196.6633,504846.2537,363777.0086,187098.2774,132419.2138,34818.58793,17230132.92,16844777.98,11608851,22471179,23780669,5435098,4864263,12.2,34074910.9,2.89,-0.46,1.621501292,1238045.577,358267.5559,1.809,2.003,5.239,6.549,1.266,3.365,27,127,231,4.684,1.248,520,38.275,35.869,374,468,1547,5056,798,1802,941,78,1132,806,7632,3840
